Degrees,XAxis,YAxis,Gripper,LeftGripper
0,48,0,0,0
1,48,0,0,0.0006
2,48,0,0,0.0041
3,48,0,0,0.013
4,48,0,0,0.0306
5,48,0,0,0.058
6,48,0,0,0.0977
7,48,0,0,0.1507
8,48,0,0,0.2169
9,48,0,0,0.2978
10,48,0,0,0.3915
11,48,0,0,0.4968
12,48,0,0,0.6133
13,48,0,0,0.7374
14,48,0,0,0.8672
15,48,0,0,1
16,48,0,0,1.1328
17,48,0,0,1.2626
18,48,0,0,1.3867
19,48,0,0,1.5032
20,48,0,0,1.6085
21,48,0,0,1.7022
22,48,0,0,1.7831
23,48,0,0,1.8493
24,48,0,0,1.9023
25,48,0,0,1.942
26,48,0,0,1.9694
27,48,0,0,1.987
28,48,0,0,1.9959
29,48,0,0,1.9994
30,48,0,0,2
31,48,0,0,2
32,48,0,0,2
33,48,0,0,2
34,48,0,0,2
35,48,0,0,2
36,48,0.0139,0,2
37,48,0.0556,0,2
38,48,0.125,0,2
39,48,0.2222,0,2
40,48,0.3472,0,2
41,48,0.5,0,2
42,48,0.6806,0,2
43,48,0.8889,0,2
44,48,1.125,0,2
45,48,1.3889,0,2
46,48,1.6806,0,2
47,48,2,0,2
48,48,2.3472,0,2
49,48,2.7222,0,2
50,48,3.125,0,2
51,48,3.5556,0,2
52,48,4.0139,0,2
53,48,4.5,0,2
54,48,5.0139,0,2
55,48,5.5556,0,2
56,48,6.125,0,2
57,48,6.7222,0,2
58,48,7.3472,0,2
59,48,8,0,2
60,48,8.6806,0,2
61,48,9.3889,0,2
62,48,10.125,0,2
63,48,10.8889,0,2
64,48,11.6806,0,2
65,48,12.5,0,2
66,48,13.3194,0,2
67,48,14.1111,0,2
68,48,14.875,0,2
69,48,15.6111,0,2
70,48,16.3194,0,2
71,48,17,0,2
72,48,17.6528,0,2
73,48,18.2778,0,2
74,48,18.875,0,2
75,48,19.4444,0,2
76,48,19.9861,0,2
77,48,20.5,0,2
78,48,20.9861,0,2
79,48,21.4444,0,2
80,48,21.875,0,2
81,48,22.2778,0,2
82,48,22.6528,0,2
83,48,23,0,2
84,48,23.3194,0,2
85,48,23.6111,0,2
86,48,23.875,0,2
87,48,24.1111,0,2
88,48,24.3194,0,2
89,48,24.5,0,2
90,48,24.6528,0,2
91,48,24.7778,0,2
92,48,24.875,0,2
93,48,24.9444,0,2
94,48,24.9861,0,2
95,48,25,0,2
96,47.9951,25,0.0107,2
97,47.9804,25,0.0426,2
98,47.9559,25,0.0959,2
99,47.9216,25,0.1704,2
100,47.8776,25,0.2663,2
101,47.8237,25,0.3834,2
102,47.76,25,0.5219,2
103,47.6865,25,0.6817,2
104,47.6033,25,0.8627,2
105,47.5102,25,1.0651,2
106,47.4073,25,1.2888,2
107,47.2947,25,1.5338,2
108,47.1722,25,1.8,2
109,47.04,25,2.0876,2
110,46.898,25,2.3965,2
111,46.7461,25,2.7267,2
112,46.5845,25,3.0782,2
113,46.4131,25,3.451,2
114,46.2318,25,3.845,2
115,46.0408,25,4.2604,2
116,45.84,25,4.6971,2
117,45.6294,25,5.1551,2
118,45.409,25,5.6344,2
119,45.1788,25,6.135,2
120,44.9388,25,6.6569,2
121,44.689,25,7.2001,2
122,44.4294,25,7.7646,2
123,44.16,25,8.3505,2
124,43.8808,25,8.9576,2
125,43.5918,25,9.586,2
126,43.2931,25,10.2357,2
127,42.9845,25,10.9067,2
128,42.6661,25,11.599,2
129,42.338,25,12.3127,2
130,42,25,13.0476,2
131,41.6522,25,13.8038,2
132,41.2947,25,14.5813,2
133,40.9273,25,15.3802,2
134,40.5502,25,16.2003,2
135,40.1633,25,17.0417,2
136,39.7665,25,17.9045,2
137,39.36,25,18.7885,2
138,38.9437,25,19.6939,2
139,38.5176,25,20.6205,2
140,38.0816,25,21.5685,2
141,37.6359,25,22.5377,2
142,37.1804,25,23.5283,2
143,36.7151,25,24.5401,2
144,36.24,25,25.5733,2
145,35.7551,25,26.6277,2
146,35.2604,25,27.7035,2
147,34.7559,25,28.8006,2
148,34.2416,25,29.9189,2
149,33.7176,25,31.0586,2
150,33.1837,25,32.2196,2
151,32.64,25,33.4018,2
152,32.0865,25,34.6054,2
153,31.5233,25,35.8303,2
154,30.9502,25,37.0765,2
155,30.3673,25,38.3439,2
156,29.7747,25,39.6327,2
157,29.1722,25,40.9428,2
158,28.56,25,42.2742,2
159,27.938,25,43.6269,2
160,27.3061,25,45,2
161,26.6645,25,46.3731,2
162,26.0131,25,47.7258,2
163,25.3518,25,49.0572,2
164,24.6808,25,50.3673,2
165,24,25,51.6561,2
166,23.3192,25,52.9235,2
167,22.6482,25,54.1697,2
168,21.9869,25,55.3946,2
169,21.3355,25,56.5982,2
170,20.6939,25,57.7804,2
171,20.062,25,58.9414,2
172,19.44,25,60.0811,2
173,18.8278,25,61.1994,2
174,18.2253,25,62.2965,2
175,17.6327,25,63.3723,2
176,17.0498,25,64.4267,2
177,16.4767,25,65.4599,2
178,15.9135,25,66.4717,2
179,15.36,25,67.4623,2
180,14.8163,25,68.4315,2
181,14.2824,25,69.3795,2
182,13.7584,25,70.3061,2
183,13.2441,25,71.2115,2
184,12.7396,25,72.0955,2
185,12.2449,25,72.9583,2
186,11.76,25,73.7997,2
187,11.2849,25,74.6198,2
188,10.8196,25,75.4187,2
189,10.3641,25,76.1962,2
190,9.9184,25,76.9524,2
191,9.4824,25,77.6873,2
192,9.0563,25,78.401,2
193,8.64,25,79.0933,2
194,8.2335,25,79.7643,2
195,7.8367,25,80.414,2
196,7.4498,25,81.0424,2
197,7.0727,25,81.6495,2
198,6.7053,25,82.2354,2
199,6.3478,25,82.7999,2
200,6,25,83.3431,2
201,5.662,25,83.865,2
202,5.3339,25,84.3656,2
203,5.0155,25,84.8449,2
204,4.7069,25,85.3029,2
205,4.4082,25,85.7396,2
206,4.1192,25,86.155,2
207,3.84,25,86.549,2
208,3.5706,25,86.9218,2
209,3.311,25,87.2733,2
210,3.0612,25,87.6035,2
211,2.8212,25,87.9124,2
212,2.591,25,88.2,2
213,2.3706,25,88.4662,2
214,2.16,25,88.7112,2
215,1.9592,25,88.9349,2
216,1.7682,25,89.1373,2
217,1.5869,25,89.3183,2
218,1.4155,25,89.4781,2
219,1.2539,25,89.6166,2
220,1.102,25,89.7337,2
221,0.96,25,89.8296,2
222,0.8278,25,89.9041,2
223,0.7053,25,89.9574,2
224,0.5927,25,89.9893,2
225,0.4898,25,90,2
226,0.3967,25,90,2
227,0.3135,25,90,2
228,0.24,25,90,2
229,0.1763,25,90,2
230,0.1224,25,90,2
231,0.0784,25,90,2
232,0.0441,25,90,2
233,0.0196,25,90,2
234,0.0049,25,90,2
235,0,25,90,2
236,0,24.9933,90,2
237,0,24.9734,90,2
238,0,24.9401,90,2
239,0,24.8935,90,2
240,0,24.8336,90,2
241,0,24.7604,90,2
242,0,24.6738,90,2
243,0,24.574,90,2
244,0,24.4608,90,2
245,0,24.3344,90,2
246,0,24.1946,90,2
247,0,24.0415,90,2
248,0,23.8751,90,2
249,0,23.6954,90,2
250,0,23.5023,90,2
251,0,23.296,90,2
252,0,23.0763,90,2
253,0,22.8434,90,2
254,0,22.5971,90,2
255,0,22.3375,90,2
256,0,22.0646,90,2
257,0,21.7784,90,2
258,0,21.4788,90,2
259,0,21.166,90,2
260,0,20.8398,90,2
261,0,20.5004,90,2
262,0,20.1476,90,2
263,0,19.7815,90,2
264,0,19.4021,90,2
265,0,19.0094,90,2
266,0,18.6033,90,2
267,0,18.184,90,2
268,0,17.7513,90,2
269,0,17.3054,90,2
270,0,16.8461,90,2
271,0,16.3735,90,2
272,0,15.8876,90,2
273,0,15.3884,90,2
274,0,14.8758,90,2
275,0,14.35,90,2
276,0,13.8242,90,2
277,0,13.3116,90,2
278,0,12.8124,90,2
279,0,12.3265,90,2
280,0,11.8539,90,2
281,0,11.3946,90,2
282,0,10.9487,90,2
283,0,10.516,90,2
284,0,10.0967,90,2
285,0,9.6906,90,2
286,0,9.2979,90,2
287,0,8.9185,90,2
288,0,8.5524,90,2
289,0,8.1996,90,2
290,0,7.8602,90,2
291,0,7.534,90,2
292,0,7.2212,90,2
293,0,6.9216,90,2
294,0,6.6354,90,2
295,0,6.3625,90,2
296,0,6.1029,90,2
297,0,5.8566,90,2
298,0,5.6237,90,2
299,0,5.404,90,2
300,0,5.1977,90,2
301,0,5.0046,90,2
302,0,4.8249,90,2
303,0,4.6585,90,2
304,0,4.5054,90,2
305,0,4.3656,90,2
306,0,4.2392,90,2
307,0,4.126,90,2
308,0,4.0262,90,2
309,0,3.9396,90,2
310,0,3.8664,90,2
311,0,3.8065,90,2
312,0,3.7599,90,2
313,0,3.7266,90,2
314,0,3.7067,90,2
315,0,3.7,90,2
316,0,3.7,90,1.9995
317,0,3.7,90,1.9961
318,0,3.7,90,1.9871
319,0,3.7,90,1.9699
320,0,3.7,90,1.9423
321,0,3.7,90,1.9027
322,0,3.7,90,1.8499
323,0,3.7,90,1.7832
324,0,3.7,90,1.7027
325,0,3.7,90,1.609
326,0,3.7,90,1.5032
327,0,3.7,90,1.3871
328,0,3.7,90,1.2628
329,0,3.7,90,1.1328
330,0,3.7,90,1
331,0,3.7,90,0.8672
332,0,3.7,90,0.7372
333,0,3.7,90,0.6129
334,0,3.7,90,0.4968
335,0,3.7,90,0.391
336,0,3.7,90,0.2973
337,0,3.7,90,0.2168
338,0,3.7,90,0.1501
339,0,3.7,90,0.0973
340,0,3.7,90,0.0577
341,0,3.7,90,0.0301
342,0,3.7,90,0.0129
343,0,3.7,90,0.0039
344,0,3.7,90,0.0005
345,0,3.7,90,0
346,0,3.7,90,0
347,0,3.7,90,0
348,0,3.7,90,0
349,0,3.7,90,0
350,0,3.7,90,0
351,0,3.7118,90,0
352,0,3.7473,90,0
353,0,3.8065,90,0
354,0,3.8893,90,0
355,0,3.9958,90,0
356,0,4.126,90,0
357,0,4.2798,90,0
358,0,4.4573,90,0
359,0,4.6585,90,0
360,0,5.0139,90,0
361,0,5.5556,90,0
362,0,6.125,90,0
363,0,6.7222,90,0
364,0,7.3472,90,0
365,0,8,90,0
366,0,8.6806,90,0
367,0,9.3889,90,0
368,0,10.125,90,0
369,0,10.8889,90,0
370,0,11.6806,90,0
371,0,12.5,90,0
372,0,13.3194,90,0
373,0,14.1111,90,0
374,0,14.875,90,0
375,0,15.6111,90,0
376,0,16.3194,90,0
377,0,17,90,0
378,0,17.6528,90,0
379,0,18.2778,90,0
380,0,18.875,90,0
381,0,19.4444,90,0
382,0,19.9861,90,0
383,0,20.5,90,0
384,0,20.9861,90,0
385,0,21.4444,90,0
386,0,21.875,90,0
387,0,22.2778,90,0
388,0,22.6528,90,0
389,0,23,90,0
390,0,23.3194,90,0
391,0,23.6111,90,0
392,0,23.875,90,0
393,0,24.1111,90,0
394,0,24.3194,90,0
395,0,24.5,90,0
396,0,24.6528,90,0
397,0,24.7778,90,0
398,0,24.875,90,0
399,0,24.9444,90,0
400,0,24.9861,90,0
401,0,25,90,0
402,0,25,90,0
403,0,25,90,0
404,0,25,90,0
405,0,25,90,0
406,0,25,90,0
407,0,25,90,0
408,0,25,90,0
409,0,25,90,0
410,0,25,89.9893,0
411,0,25,89.9574,0
412,0,25,89.9041,0
413,0,25,89.8296,0
414,0,25,89.7337,0
415,0,25,89.6166,0
416,0,25,89.4781,0
417,0,25,89.3183,0
418,0,25,89.1373,0
419,0,25,88.9349,0
420,0,25,88.7112,0
421,0,25,88.4662,0
422,0,25,88.2,0
423,0,25,87.9124,0
424,0,25,87.6035,0
425,0,25,87.2733,0
426,0,25,86.9218,0
427,0,25,86.549,0
428,0,25,86.155,0
429,0,25,85.7396,0
430,0,25,85.3029,0
431,0,25,84.8449,0
432,0,25,84.3656,0
433,0,25,83.865,0
434,0,25,83.3431,0
435,0,25,82.7999,0
436,0,25,82.2354,0
437,0,25,81.6495,0
438,0,25,81.0424,0
439,0,25,80.414,0
440,0,25,79.7643,0
441,0,25,79.0933,0
442,0,25,78.401,0
443,0,25,77.6873,0
444,0,25,76.9524,0
445,0,25,76.1962,0
446,0,25,75.4187,0
447,0,25,74.6198,0
448,0,25,73.7997,0
449,0,25,72.9583,0
450,0,25,72.0955,0
451,0,25,71.2115,0
452,0,25,70.3061,0
453,0,25,69.3795,0
454,0,25,68.4315,0
455,0,25,67.4623,0
456,0,25,66.4717,0
457,0,25,65.4599,0
458,0,25,64.4267,0
459,0,25,63.3723,0
460,0,25,62.2965,0
461,0,25,61.1994,0
462,0,25,60.0811,0
463,0,25,58.9414,0
464,0,25,57.7804,0
465,0,25,56.5982,0
466,0,25,55.3946,0
467,0,25,54.1697,0
468,0,25,52.9235,0
469,0,25,51.6561,0
470,0,25,50.3673,0
471,0,25,49.0572,0
472,0,25,47.7258,0
473,0,25,46.3731,0
474,0,25,45,0
475,0,25,43.6269,0
476,0,25,42.2742,0
477,0,25,40.9428,0
478,0,25,39.6327,0
479,0,25,38.3439,0
480,0,25,37.0765,0
481,0,25,35.8303,0
482,0,25,34.6054,0
483,0,25,33.4018,0
484,0,25,32.2196,0
485,0.0049,25,31.0586,0
486,0.0196,25,29.9189,0
487,0.0441,25,28.8006,0
488,0.0784,25,27.7035,0
489,0.1224,25,26.6277,0
490,0.1763,25,25.5733,0
491,0.24,25,24.5401,0
492,0.3135,25,23.5283,0
493,0.3967,25,22.5377,0
494,0.4898,25,21.5685,0
495,0.5927,25,20.6205,0
496,0.7053,25,19.6939,0
497,0.8278,25,18.7885,0
498,0.96,25,17.9045,0
499,1.102,25,17.0417,0
500,1.2539,25,16.2003,0
501,1.4155,25,15.3802,0
502,1.5869,25,14.5813,0
503,1.7682,25,13.8038,0
504,1.9592,25,13.0476,0
505,2.16,25,12.3127,0
506,2.3706,25,11.599,0
507,2.591,25,10.9067,0
508,2.8212,25,10.2357,0
509,3.0612,25,9.586,0
510,3.311,25,8.9576,0
511,3.5706,25,8.3505,0
512,3.84,25,7.7646,0
513,4.1192,25,7.2001,0
514,4.4082,25,6.6569,0
515,4.7069,25,6.135,0
516,5.0155,25,5.6344,0
517,5.3339,25,5.1551,0
518,5.662,25,4.6971,0
519,6,25,4.2604,0
520,6.3478,25,3.845,0
521,6.7053,25,3.451,0
522,7.0727,25,3.0782,0
523,7.4498,25,2.7267,0
524,7.8367,25,2.3965,0
525,8.2335,25,2.0876,0
526,8.64,25,1.8,0
527,9.0563,25,1.5338,0
528,9.4824,25,1.2888,0
529,9.9184,25,1.0651,0
530,10.3641,25,0.8627,0
531,10.8196,25,0.6817,0
532,11.2849,25,0.5219,0
533,11.76,25,0.3834,0
534,12.2449,25,0.2663,0
535,12.7396,25,0.1704,0
536,13.2441,25,0.0959,0
537,13.7584,25,0.0426,0
538,14.2824,25,0.0107,0
539,14.8163,25,0,0
540,15.36,25,0,0
541,15.9135,25,0,0
542,16.4767,25,0,0
543,17.0498,25,0,0
544,17.6327,25,0,0
545,18.2253,25,0,0
546,18.8278,25,0,0
547,19.44,25,0,0
548,20.062,25,0,0
549,20.6939,25,0,0
550,21.3355,25,0,0
551,21.9869,25,0,0
552,22.6482,25,0,0
553,23.3192,25,0,0
554,24,25,0,0
555,24.6808,25,0,0
556,25.3518,25,0,0
557,26.0131,25,0,0
558,26.6645,25,0,0
559,27.3061,25,0,0
560,27.938,25,0,0
561,28.56,25,0,0
562,29.1722,25,0,0
563,29.7747,25,0,0
564,30.3673,25,0,0
565,30.9502,25,0,0
566,31.5233,25,0,0
567,32.0865,25,0,0
568,32.64,25,0,0
569,33.1837,25,0,0
570,33.7176,25,0,0
571,34.2416,25,0,0
572,34.7559,25,0,0
573,35.2604,25,0,0
574,35.7551,25,0,0
575,36.24,25,0,0
576,36.7151,25,0,0
577,37.1804,25,0,0
578,37.6359,25,0,0
579,38.0816,25,0,0
580,38.5176,25,0,0
581,38.9437,25,0,0
582,39.36,25,0,0
583,39.7665,25,0,0
584,40.1633,25,0,0
585,40.5502,25,0,0
586,40.9273,25,0,0
587,41.2947,25,0,0
588,41.6522,25,0,0
589,42,25,0,0
590,42.338,25,0,0
591,42.6661,25,0,0
592,42.9845,25,0,0
593,43.2931,25,0,0
594,43.5918,25,0,0
595,43.8808,25,0,0
596,44.16,25,0,0
597,44.4294,25,0,0
598,44.689,25,0,0
599,44.9388,25,0,0
600,45.1788,25,0,0
601,45.409,25,0,0
602,45.6294,25,0,0
603,45.84,25,0,0
604,46.0408,25,0,0
605,46.2318,25,0,0
606,46.4131,25,0,0
607,46.5845,25,0,0
608,46.7461,25,0,0
609,46.898,25,0,0
610,47.04,25,0,0
611,47.1722,25,0,0
612,47.2947,25,0,0
613,47.4073,25,0,0
614,47.5102,25,0,0
615,47.6033,25,0,0
616,47.6865,25,0,0
617,47.76,25,0,0
618,47.8237,25,0,0
619,47.8776,25,0,0
620,47.9216,25,0,0
621,47.9559,25,0,0
622,47.9804,25,0,0
623,47.9951,25,0,0
624,48,25,0,0
625,48,25,0,0
626,48,25,0,0
627,48,25,0,0
628,48,25,0,0
629,48,25,0,0
630,48,25,0,0
631,48,25,0,0
632,48,25,0,0
633,48,25,0,0
634,48,25,0,0
635,48,25,0,0
636,48,25,0,0
637,48,25,0,0
638,48,25,0,0
639,48,25,0,0
640,48,25,0,0
641,48,25,0,0
642,48,25,0,0
643,48,25,0,0
644,48,25,0,0
645,48,25,0,0
646,48,25,0,0
647,48,25,0,0
648,48,25,0,0
649,48,25,0,0
650,48,25,0,0
651,48,24.9861,0,0
652,48,24.9444,0,0
653,48,24.875,0,0
654,48,24.7778,0,0
655,48,24.6528,0,0
656,48,24.5,0,0
657,48,24.3194,0,0
658,48,24.1111,0,0
659,48,23.875,0,0
660,48,23.6111,0,0
661,48,23.3194,0,0
662,48,23,0,0
663,48,22.6528,0,0
664,48,22.2778,0,0
665,48,21.875,0,0
666,48,21.4444,0,0
667,48,20.9861,0,0
668,48,20.5,0,0
669,48,19.9861,0,0
670,48,19.4444,0,0
671,48,18.875,0,0
672,48,18.2778,0,0
673,48,17.6528,0,0
674,48,17,0,0
675,48,16.3194,0,0
676,48,15.6111,0,0
677,48,14.875,0,0
678,48,14.1111,0,0
679,48,13.3194,0,0
680,48,12.5,0,0
681,48,11.6806,0,0
682,48,10.8889,0,0
683,48,10.125,0,0
684,48,9.3889,0,0
685,48,8.6806,0,0
686,48,8,0,0
687,48,7.3472,0,0
688,48,6.7222,0,0
689,48,6.125,0,0
690,48,5.5556,0,0
691,48,5.0139,0,0
692,48,4.5,0,0
693,48,4.0139,0,0
694,48,3.5556,0,0
695,48,3.125,0,0
696,48,2.7222,0,0
697,48,2.3472,0,0
698,48,2,0,0
699,48,1.6806,0,0
700,48,1.3889,0,0
701,48,1.125,0,0
702,48,0.8889,0,0
703,48,0.6806,0,0
704,48,0.5,0,0
705,48,0.3472,0,0
706,48,0.2222,0,0
707,48,0.125,0,0
708,48,0.0556,0,0
709,48,0.0139,0,0
710,48,0,0,0
711,48,0,0,0
712,48,0,0,0
713,48,0,0,0
714,48,0,0,0
715,48,0,0,0
716,48,0,0,0
717,48,0,0,0
718,48,0,0,0
719,48,0,0,0
